,label,yeo
343,R_V2_ROI,1
344,R_V3A_ROI,1
345,R_V3B_ROI,1
346,R_V3CD_ROI,1
347,R_V3_ROI,1
348,R_V4_ROI,1
349,R_V4t_ROI,1
350,R_V6A_ROI,1
351,R_V6_ROI,1
352,R_V7_ROI,1
353,R_V8_ROI,1
354,R_VIP_ROI,3
355,R_VMV1_ROI,1
356,R_VMV2_ROI,1
357,R_VMV3_ROI,1
358,R_VVC_ROI,1
359,R_a10p_ROI,6
360,R_a24_ROI,7
361,R_a24pr_ROI,4
362,R_a32pr_ROI,6
363,R_a47r_ROI,6
364,R_a9-46v_ROI,6
365,R_d23ab_ROI,7
366,R_d32_ROI,7
367,R_i6-8_ROI,6
368,R_p10p_ROI,7
369,R_p24_ROI,7
370,R_p24pr_ROI,4
371,R_p32_ROI,7
372,R_p32pr_ROI,4
373,R_p47r_ROI,6
374,R_p9-46v_ROI,6
375,R_pOFC_ROI,5
376,R_s32_ROI,7
377,R_s6-8_ROI,7
378,R_v23ab_ROI,7
